Player,,points,R64,R32,R16,QF,SF,F,W
Joao Sousa (POR),,645,0.52377,0.20814,0.07787,0.02037,0.00492,0.00098,0.00012
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(4)Alexander Zverev (GER),,951,1.0,0.61588,0.29472,0.10376,0.03212,0.00788,0.00129
(6)Juan Martin Del Potro (ARG),,3165,1.0,0.82748,0.62483,0.47682,0.2435,0.15372,0.06251
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Lennard Struff (GER),,915,0.72846,0.14808,0.06713,0.03116,0.00751,0.00218,0.00032
(WC)Alex De Minaur (AUS),,378,0.27154,0.02444,0.00576,0.00162,0.0002,2e-05,0.0
Nikoloz Basilashvili (RUS),,640,0.41273,0.12778,0.02541,0.00916,0.00158,0.00038,7e-05
(WC)Tennys Sandgren (USA),,878,0.58727,0.22577,0.05643,0.02542,0.00587,0.00186,0.00025
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(29)David Ferrer (ESP),,1335,1.0,0.64645,0.22044,0.12424,0.03831,0.01552,0.00334
(22)Kei Nishikori (JPN),,1425,1.0,0.65014,0.42931,0.16934,0.05484,0.02336,0.00541
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Mayer (ARG),,1000,0.74857,0.30348,0.17087,0.05369,0.01348,0.00442,0.00068
Victor Estrella (DOM),,367,0.25143,0.04638,0.01415,0.00183,0.00026,3e-05,0.0
(Q)Taro Daniel (JPN),,470,0.45366,0.14321,0.03803,0.00676,0.00097,0.00021,1e-05
(Q)Cameron Norrie (NZL),,555,0.54634,0.19303,0.05842,0.01196,0.00184,0.00039,2e-05
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(10)Novak Djokovic (SRB),,951,1.0,0.66376,0.28922,0.088,0.02185,0.0073,0.00141
(15)John Isner (USA),,2170,1.0,0.71059,0.46368,0.18447,0.0989,0.0538,0.01666
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gael Monfils (FRA),,1140,0.63806,0.21096,0.10336,0.02704,0.01051,0.00385,0.00072
Matthew Ebden (AUS),,690,0.36194,0.07845,0.02849,0.005,0.00125,0.00026,4e-05
Pierre Hugues Herbert (FRA),,595,0.43941,0.11678,0.02858,0.00408,0.00103,0.00024,2e-05
Gilles Simon (FRA),,755,0.56059,0.18142,0.05285,0.00974,0.00287,0.00088,0.0001
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(24)Gilles Muller (LUX),,1500,1.0,0.7018,0.32304,0.10093,0.04539,0.01972,0.00478
(31)Philipp Kohlschreiber (GER),,1255,1.0,0.71356,0.16898,0.07412,0.02983,0.01202,0.00307
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(Q)Tim Smyczek (USA),,451,0.40986,0.09983,0.01006,0.00206,0.00038,8e-05,1e-05
Laslo Djere (SRB),,627,0.59014,0.18661,0.02638,0.00708,0.00191,0.0005,3e-05
Viktor Troicki (SRB),,790,0.49102,0.05948,0.02609,0.00873,0.0025,0.0007,0.00012
Marton Fucsovics (HUN),,823,0.50898,0.06338,0.02792,0.00881,0.00254,0.00081,0.00012
Bye,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(2)Marin Cilic (CRO),,4870,1.0,0.87714,0.74057,0.56794,0.41268,0.3026,0.15199
